Voter ID,Vote ID,Vote TTL,Votes for: 政を祭に変える #vote_forプロジェクト,Votes for: 淡路島クエストカレッジ,Votes for: イナトリアートセンター計画,Votes for: JINEN TRAVEL,Votes for: ビオ田んぼプロジェクト,Votes for: パラ旅応援団,Votes for: 10代・20代の「いま、やりたい」を後押しする拠点　ちばユースセンターPRISM
74331297-7903-4514-ac57-9be3735bec46,4fb552ef-bd27-4538-90ad-2dbae57046dc,1746238207,1,2,3,5,5,5,3
e40232b4-ee78-4225-826c-3eb144fcf7f8,82795550-deec-4928-8b40-68f7011d3ba3,1746238207,0,2,0,3,6,1,7
c386a383-a449-47ed-a831-5aa18697ec8e,9bd34e9a-97a8-404c-a2ee-c467512f2d5c,1746238207,3,4,4,2,5,5,2
2957c454-0ebf-4766-a889-4e90038296d6,544b1166-aef8-483e-9bb1-c3fd700b5370,1746238207,0,5,4,1,1,1,6
8dcd3cab-51f1-45e5-8de0-2343f60ef1cb,89ef1434-23d2-42d6-b32d-b35f4e31bfd7,1746238207,0,0,0,0,0,9,1
742c62a5-0977-4810-9c57-791d292949a2,9494fc18-7926-4f7a-8f92-b6c985a8ba39,1746238207,0,1,0,0,0,0,3
8367e9f5-445f-4f64-ace3-8a823d67817d,82cfe7b2-5eb0-432c-8651-1814177b834b,1746238207,1,2,1,1,5,8,1
8043150b-a0c4-4f7f-bda7-ba2433dc2e60,66622669-cf7f-4dd8-8b8f-029934e629c3,1746238207,5,1,4,7,2,2,0
884bf3aa-a4fa-4254-a5b6-9e3e038ccc3b,b23d244b-1605-46b2-a24a-55de0c285c6f,1746238207,2,1,1,1,1,2,1
5f3a091f-2c12-475d-94e2-45a4190d5407,a0d39272-f103-4a15-8fd1-76c0a6831f4a,1746238207,3,3,0,0,0,0,9
d1d5719f-b0fd-407f-8ff9-b5cdbf3a476a,b4f39381-6b10-4752-9d5f-c756b67e1c2a,1746238207,3,0,8,0,4,3,0
68b688ba-8695-46b2-9ee9-d0b27d984668,705b2de8-cb78-4cdc-b33b-acd175aa64a5,1746238207,3,3,6,5,3,2,2
289f09bb-03b2-4258-a682-32c5724a767d,3352126f-4200-4e79-8a54-3fb64d71dee1,1746238207,0,2,6,0,7,3,1
588334c6-661c-4921-8b8b-c525796733df,025d3b44-c1e0-4678-9b60-2eda7e1bf86c,1746238207,2,6,3,3,4,4,3
f5ef5f70-59a4-428f-bf20-15f1c8ac9616,c3947bcf-4cf1-433c-9b37-6c85a70acc3e,1746238207,1,1,1,8,5,1,1
90a7201c-0dd1-4057-b8ee-bcf0c22a459a,eeefa9a3-a924-4e8f-bd3d-4f9962b8d322,1746238207,3,3,3,3,3,3,3
98fa984b-ec2e-45b7-b4bc-f819bc583cee,c1f7984b-3dd1-4fbd-ac84-fe63778d4361,1746238207,3,0,9,0,2,0,0
4644469e-a7a2-452a-a08e-31451134a30d,136bff0c-af1e-4b14-a92e-63021b4aa002,1746238207,0,0,0,1,9,4,1
a7270f80-06a2-4557-9025-042d3517482a,2c79f10a-b869-4636-a788-e479434a243e,1746238207,2,3,1,9,2,0,0
dcd28adc-5ebf-4fa6-83bf-820f53bce610,9c2d3611-8e4a-4874-8f28-e7c220119656,1746238207,2,5,3,5,3,3,4
90ec5cd1-67c7-4caf-a54f-f9ebec89a8e9,bdad5e12-6e6a-4869-b72e-0b5a62faed70,1746238207,2,3,5,4,4,3,4
dc5512f4-dd08-4c4d-b46e-cf0f9680150a,bd42ddae-a789-4549-9c2a-f76e60604df4,1746238207,6,1,1,2,2,1,7
2586ac10-92f8-45f0-b87e-26d496aefc11,8e1104ab-0cd8-4dc3-8133-3023de2427dc,1746238207,2,4,2,6,5,2,3
62159dd1-59e7-43c8-8fc1-9f7998235c90,1068aabe-f90f-45d3-b3ea-f6a9c7b0729f,1746238207,3,1,0,0,5,0,8
dd8f7975-f027-471f-9448-76ba906d9392,1bababa7-8881-43bd-a2a2-031c74259053,1746238207,0,0,0,0,6,5,5
942632fb-d570-4c47-9733-7764089b5a02,38a95746-8005-42d6-b98d-ff7c2828da5c,1746238207,0,7,1,7,0,0,0
d63e9659-3b8a-4c09-b210-620cc674a459,4776296f-68b6-4d29-adea-7150c36c86fb,1746238207,4,3,2,2,4,3,6
fbcc57bb-9fbe-4db2-a080-ac64478e845a,509e1fa0-db5d-47e3-9c67-faa514381d83,1746238207,4,5,5,2,2,4,3
19e570de-6129-47ec-ac91-06ea1dead5f4,ee51b5aa-8568-4db6-a938-73a42b9bf4f7,1746238207,3,7,2,3,3,3,3
3ef7874b-7e99-43e3-acd9-765f2671874f,2d6195e8-e4ce-416d-b74d-c6cc41af4d65,1746238207,5,4,2,2,5,3,3
ea39dab8-366b-4739-a95b-18317432352f,8fb0cc4b-0e38-4b80-988e-71ae75934648,1746238207,7,1,2,0,0,3,6
ff31f7d2-7535-416e-b36f-5a9a34e5e4fb,fa235bee-4240-4ef1-b915-9ded1b94461a,1746238207,5,1,5,1,1,1,6
15445933-70e9-46da-831c-0297b626792a,6bd3bbee-189f-405f-8faf-c79222f10389,1746238207,2,5,2,2,6,3,4
7c55370f-25e8-44c0-ba6a-7ef515bf8fc2,a40c6007-60be-48ed-b8fd-444bf95ed321,1746238207,5,2,5,1,5,3,3
82fa49d5-a7fa-4857-9b47-f3813d9c7d36,ee45bdba-43b4-4830-9844-330dce47e770,1746238207,2,6,3,3,4,4,3
79146ba9-5ef3-4815-b220-6b1a70ac2dcb,c4a03ec8-c06a-40a7-bc69-3de2d90f1f53,1746238207,5,0,0,0,0,5,7
a6519744-cc92-4eb8-a84a-374906a9bc2f,f791cfeb-39b6-40de-bab0-2e9bc7038bc8,1746238207,4,2,2,8,1,1,3
a8793c64-4c39-4e43-b93b-ffcf410a0e14,14e5ea08-f219-4a25-a878-3fa081ff98bc,1746238207,2,4,6,2,2,3,5
8e3eeb41-978d-4bda-9a2f-ba4da09af07c,f51156bd-4666-4f6e-938c-a5c05c4a7176,1746238207,1,5,6,5,2,2,2
9ffa2510-bbfd-4920-a6e0-1c709aad2f14,63ebb33d-b5a8-4c1d-93aa-e1f46d8bc9fa,1746238207,1,4,4,1,3,4,4
160641a8-37c8-4a1c-ab24-d5f3b26689f0,a9a1ff6e-c592-4873-9450-c74898485dd2,1746238207,9,2,2,2,2,1,1
ced5ce51-f8d6-4afe-95c7-28c587ea5191,59d2ec93-464e-4508-b8ed-04aafdaf4aee,1746238207,4,4,2,3,2,5,5
3313242b-c92a-4703-a70e-1add57d09a31,ce054449-ece5-4d34-81be-093c1320256f,1746238207,3,2,0,0,1,7,6
e7b9a389-1d4c-4e6c-a82b-cb4d7c4b63c1,7cb01ada-4b7b-47db-90e2-e2d58848f44b,1746238207,1,5,1,5,5,1,1
