Voter ID,Vote ID,Vote TTL,Votes for: 政を祭に変える #vote_for_プロジェクト,Votes for: イナトリアートセンター計画,Votes for: 淡路島クエストカレッジ,Votes for: 屋久島と地球の未来会議2026,Votes for: ビオ田んぼプロジェクト,Votes for: パラ旅応援団,Votes for: 10代・20代の『いま、やりたい』を後押しする拠点　ちばユースセンターPRISM
5d1ac02c-41e7-4bee-b5db-39c344a0f39c,50ff50af-fa57-4bee-b2d1-2bec49fbae3a,1749996265,0,0,0,0,0,0,9
1ae36752-fe30-45c8-a097-adb4ef70041a,d2e4c4c7-3df0-4900-985b-c430b5d96a30,1749996265,0,0,9,0,0,0,0
50b859bc-094c-470b-a6ca-8384ce016c8e,178ac55b-f457-462e-ace6-334e266e0b7c,1749996265,0,0,9,0,0,0,0
9e33b1e8-0476-4a71-822f-7a43995f28fb,7a4e2359-e0fb-4183-bc12-fa7313d4de37,1749996265,4,4,1,1,5,6,2
34ed64de-acdc-4804-9ccb-828db0456417,806576e9-3019-41a1-8035-46a82aeac2bb,1749996265,0,0,0,0,0,0,0
ac8fe3ba-cd7d-4d6c-870f-6102e12d19cb,d7d5be0b-cfc5-493e-800f-98c51fca89a5,1749996265,0,0,9,0,2,3,2
27c311e4-cbc7-4929-8b71-ef585e5af03e,dc1e6f64-0fb8-4ed6-82dc-d006fb90e331,1749996265,0,0,9,0,0,0,0
8c0339db-5eb7-49e2-9f0f-9ed943b27f1a,618821f6-b9e5-4b29-a1c7-bf03ea34a1a7,1749996265,0,0,9,0,0,0,0
b19aa098-0c92-4b52-a01b-42116d35d269,8b6da65e-96cd-4754-b39e-fba0d715b594,1749996265,5,1,3,1,3,5,5
766076fb-e0a6-4778-981e-0596461bce8d,8d5b950b-00ac-4f9d-a884-27f1e31f6b97,1749996265,2,7,2,0,2,3,5
09c8af99-75c2-4919-942f-7c74160bad55,0436cbdc-cea1-452b-b32d-50bfbc19f8d2,1749996265,6,0,0,1,7,0,3
bfedb177-4300-4161-8677-190f1b46cb06,5da1373d-f7a3-4e29-b493-72000d8a394b,1749996265,5,1,4,1,7,1,2
49b90e5c-feb1-494a-8827-ce41b3964605,9cd871aa-c8c8-4f6a-8a93-4421056049c7,1749996265,0,7,0,1,2,6,0
00c1f137-71c8-4545-9607-cf584b0563d7,c801802c-15f7-49c2-a9ac-176de8cc3522,1749996265,3,4,7,4,2,2,1
db75a69d-ba11-4241-ab92-027cad642030,23c7515e-97d3-480e-99e6-6a7d1abc4fcc,1749996265,0,7,7,1,0,0,0
edcc2063-fec4-490e-84c9-46ea759ec648,4d560857-bd33-4300-8eb3-73f64192bd69,1749996265,5,3,2,3,4,4,4
f655c823-f6ec-4495-afd8-d571713cb9cf,78c9ad87-89af-4642-9f84-307af387dbdc,1749996265,0,0,4,4,6,5,1
397dad68-74a3-4e40-aa9e-97405fd10c1c,9ed5a4e6-565f-4086-a6a8-e9846a7c5e7a,1749996265,0,0,9,0,0,0,0
72898b10-37a8-4cda-90e9-f8e7f68ab460,5d8f44ea-2622-4709-a33e-63b486cafedd,1749996265,5,2,6,2,2,3,3
1c2d5527-2466-48d4-a1ec-b123d6aaf90c,0179df6e-956e-4e77-a7db-7374ae3dbc79,1749996265,1,0,0,0,0,0,0
745e82ce-0ab4-4adb-9ebb-a0876164714f,b67f0eb7-a72d-46ca-89c8-8ae6777151a9,1749996265,0,0,6,0,0,0,0
1aba7060-9607-4fa8-b846-1dbacbc49980,a85bc099-15c7-4ef3-83f9-de56e4b0fd1b,1749996265,5,1,4,1,2,4,6
5f36547f-e703-41c2-ba79-e68a2cfac1c4,d27d7754-a4e5-41eb-8c00-409dbbc0331a,1749996265,2,2,2,2,5,3,7
5598281f-6c15-4fa9-a8f5-37a5f5eab187,f4436f05-1535-40fb-9280-b7abfc4ef63e,1749996265,3,2,3,2,8,2,2
7055ed1d-fc3a-4667-ad52-bbeaa9a26074,a31c945a-2919-4566-9206-16474b1b9094,1749996265,0,0,9,0,0,0,0
0dd87e9f-1809-42bc-8938-e0470b1c351d,d00419d6-005d-43a8-95e4-8e7db847dda8,1749996265,5,2,3,4,2,4,5
08736f59-d4bd-4e2a-a230-5c69fabe1ecb,1a277f41-f534-4260-a3e8-c34545dfc760,1749996265,9,2,1,3,1,1,1
ff8c79b5-b65b-43f0-a425-3bf44beb4aa4,181102c2-d850-4a01-a095-e20e0852f492,1749996265,2,0,0,5,8,0,0
a043d5f1-23f0-4bc2-b48e-ec609274c4e9,21ef0363-e0c1-43f6-99d3-97b7325f5207,1749996265,0,0,0,0,0,4,9
d6e35846-99ae-43d7-bd40-33562fc3a19e,ab59d9cb-77e4-4294-864e-9772cccc0a87,1749996265,0,0,9,0,0,0,0
a7977961-4f78-4e01-9752-664a0a897204,7f06c94a-04bc-461e-a01a-55dbcb715255,1749996265,9,2,1,1,1,1,1
d1e57bd2-8761-47c6-beef-aa1c0a862530,3dfe7a3a-f706-408b-b365-c0530eff6c1e,1749996265,2,3,2,4,5,5,2
8ad74d99-724e-4edd-ae01-fc2ccd6aff65,4a5caa80-4dbb-4594-96e1-da6225d8aa8e,1749996265,0,0,9,0,0,0,0
b6718c3a-f8f7-4e14-8c25-bc71ae2e8200,9018dc20-1448-46fe-a04c-684bbb639c83,1749996265,3,0,0,0,0,5,8
